'a'ba'gai'xin'zao 阿巴盖新蚤
'kuo'fu'kou'jia'shu 阔腹叩甲属
'kuo'fu'tang'ya'ke 阔斧螳亚科
'kuo'fu'yi'zao'ying 阔跗异蚤蝇
'kuo'gang'ji'feng'zu 阔肛姬蜂族
'kuo'gou'ji'feng'shu 阔沟姬蜂属
'kuo'guan'pian'tou'ye'chan 阔冠片头叶蝉
'kuo'gui'jia'shu 阔龟甲属
'kuo'hao'bo'wen'e 阔浩波纹蛾
'kuo'hen'xi'e'shu 阔痕细蛾属
'kuo'hong'ying'shu 阔红萤属
'kuo'hua'bo'wen'e 阔华波纹蛾
'kuo'huang'tiao'tiao'jia'shu 阔黄条跳甲属
'kuo'hui'gu'xiang'shu 阔喙谷象属
'kuo'jian'piao'la'chan 阔肩瓢蜡蝉
'kuo'jian'tong'yuan'chun 阔肩同缘蝽
'kuo'jiao'gu'dao 阔角谷盗
'kuo'jing'ma'juan'jin'gui 阔胫玛绢金龟
'kuo'jing'mang'chun'shu 阔颈盲蝽属
'kuo'jing'qi'ling'shu 阔胫蛣蛉属
'kuo'jing'rong'jin'gui 阔胫绒金龟
'kuo'jing'rong'sai'jin'gui 阔胫绒鳃金龟
'kuo'jing'sai'jin'gui 阔胫鳃金龟
'kuo'ju'tian'niu'shu 阔咀天牛属
'kuo'ke'gan'bai'yi 阔颏杆白蚁
'kuo'ke'mu'bi'bai'yi 阔颏木鼻白蚁
'kuo'liao'kuan'yuan'tiao'jia 阔辽宽缘跳甲
'kuo'lin'hua'chi'shi'ying 阔林花翅实蝇
'kuo'ma'meng 阔麻虻
'kuo'min'chun'shu 阔黾蝽属
'kuo'qu'lan'cang'huang 扩朐澜沧蝗
'kuo'san'ci'jiao'chan 扩三刺角蝉
'kuo'sha'yin'zhu 阔莎茵蛛
'kuo'tiao'fei'shi'shu 阔条飞虱属
'kuo'tong'chun 阔同蝽
'kuo'tong'chun'shu 阔同蝽属
'kuo'tou'ban'ye'chan 阔头斑叶蝉
'kuo'tou'cai'bai'yi 扩头蔡白蚁
'kuo'tou'chang'xiao'du'shu 阔头长小蠹属
'kuo'tou'chun 阔头蝽
'kuo'tou'mu'ye'chan 阔头木叶蝉
'kuo'tou'san'bai'yi 扩头散白蚁
'kuo'tou'ye'chan'shu 阔头叶蝉属
'kuo'tou'zu 阔头族
'kuo'tui'dou'xiang'shu 阔腿豆象属
'kuo'tui'gan'bai'yi 阔腿杆白蚁
'kuo'tui'mu'bi'bai'yi 阔腿木鼻白蚁
'kuo'wei'feng'die 阔尾凤蝶
'kuo'wen'da'xiang 阔吻大象
'kuo'xie'mang'la'chan 阔楔盲蜡蝉
'kuo'xiong'jin'gui'zi 阔胸金龟子
'kuo'xiong'kou'jia 阔胸叩甲
'kuo'xiong'lan'cang'huang 扩胸澜沧蝗
'kuo'xiong'xi'jin'gui 阔胸犀金龟
'kuo'xiong'xue'shi 阔胸血虱
'kuo'xu'han'zao'ying 阔须寒蚤蝇
'kuo'ye'cha'ma'ying 阔叶叉麻蝇
'kuo'ye'hong'cong 阔叶红蟌
'kuo'ye'ma'ying 阔叶麻蝇
'kuo'ye'shu'feng 阔叶树蜂
'kuo'zao'ying'shu 阔蚤蝇属
'kuo'zhi'ji'feng 扩栉姬蜂
'kuo'zhuang'yi'chun 扩壮异蝽
'kuo'zui'kou'jia'shu 阔嘴叩甲属
'kuo'zui'kou'jia'ya'ke 阔嘴叩甲亚科
'kuo'zui'tian'niu'shu 阔嘴天牛属
'kuo'zui'xiang'shu 阔嘴象属
'kuo'zui'xiu'xiang 阔嘴锈象
'la'ba'shi'ying'shu 拉巴实蝇属
'la'ba'xuan'xiao'feng 喇叭旋小蜂
'la'bao'shi'ying'shu 拉保实蝇属
'la'bu'lue'zhu 拉步掠蛛
'la'chan'ke 蜡蝉科
'la'chan'shu 蜡蝉属
'la'chan'zong'ke 蜡蝉总科
'la'chang'ye'feng'shu 腊肠叶蜂属
'la'chang'yi'ling'shu 腊肠蚁蛉属
'la'chong'tiao'xiao'feng 蜡虫跳小蜂
'la'da'ke'xiong'feng 拉达克熊蜂
'la'da'qie'ye'feng 拉达切叶蜂
'la'di'a'ta'fei'luo'shi'ying 拉迪阿塔菲洛实蝇
'la'di'sha'nu'shi'ying 拉蒂沙努实蝇
'la'di'song'mao'zhu 拉蒂松猫蛛
'la'fen'shi'shu 剌粉虱属
'la'gen'tiao'jia 辣根跳甲
'la'gen'xiang'jia 辣根象甲
'la'gui'jia'shu 腊龟甲属
'la'he'er'dun'yuan'pi 拉合尔钝缘蜱
'la'hua'tian'niu'shu 拉花天牛属
'la'hui'die'shu 腊灰蝶属
'la'ji'xiao'bu'jia 垃圾小步甲
'la'ji'ying'shu 拉寄蝇属
'la'ji'ying'shu 腊寄蝇属
'la'ji'ying'shu 蜡寄蝇属
'la'jia'die'shu 蜡蛱蝶属
'la'jian'jia'shu 拉坚甲属
'la'jiao'ci'fu'mang'chun 辣椒刺腹盲蝽
'la'jiao'jiao'mang'chun 辣椒角盲蝽
'la'jiao'zong'shi'ying 辣椒棕实蝇
'la'jie'ban'chi'ya'xiao'feng 蜡蚧斑翅蚜小蜂
'la'jie'bian'jiao'chang'wei'tiao'xiao'feng 蜡蚧扁角长尾跳小蜂
'la'jie'bian'jiao'tiao'xiao'feng 蜡蚧扁角跳小蜂
'la'jie'chi'ya'xiao'feng 蜡蚧翅蚜小蜂
'la'jie'hei'se'tiao'xiao'feng 蜡蚧黑色跳小蜂
'la'jie'hua'chi'tiao'xiao'feng 蜡蚧花翅跳小蜂
'la'jie'hua'jiao'tiao'xiao'feng 蜡蚧花角跳小蜂
'la'jie'ke 蜡蚧科
'la'jie'kuo'bing'tiao'xiao'feng 蜡蚧阔柄跳小蜂
'la'jie'shu 蜡蚧属
'la'jie'tiao'xiao'feng 蜡蚧跳小蜂
'la'jie'xiang 蜡蚧象
'la'jie'ya'ke 蜡蚧亚科
'la'jing'chang'ti'jian'feng 喇径长体茧蜂
'la'juan'mao'ya 蜡卷毛蚜
'la'ke'jian'feng'shu 蜡克茧蜂属
'la'ke'tiao'jia'shu 拉克跳甲属
'la'la'hu'jie 剌蜡壶蚧
'la'la'shan'chang'bing'jian'feng 拉拉山长柄茧蜂
'la'li'ye'e'shu 蜡丽夜蛾属
'la'liao'diao'chi'e 辣蓼雕翅蛾
'la'lv'jie'shu 蜡履蚧属
'la'ma'jia'die'shu 喇嘛蛱蝶属
'la'ma'yi'shan'pi 喇嘛异扇蜱
'la'ma'ying'shu 拉麻蝇属
'la'ma'ying'zu 拉麻蝇族
'la'mei'fen'jie'tiao'xiao'feng 拉美粉蚧跳小蜂
'la'mei'feng'li'fen'jie'tiao'xiao'feng 拉美凤梨粉蚧跳小蜂
'la'mei'jie'ying'jin'xiao'feng 拉美劫蝇金小蜂
'la'mei'jing'ying'jin'xiao'feng 拉美惊蝇金小蜂
'la'mei'rou'ying'jin'xiao'feng 拉美柔蝇金小蜂
'la'mei'tian'cai'ban'qian'ying 拉美甜菜斑潜蝇
'la'mei'ying'yong'yong'xiao'feng 拉美蝇蛹俑小蜂
'la'mi'tian'niu'shu 拉侎天牛属
'la'mian'fen'jie 蜡绵粉蚧
'la'ming'rong'jian'feng 蜡螟绒茧蜂
'la'ming'shu 蜡螟属
'la'ming'ya'ke 蜡螟亚科
'la'mu'shi'ying 辣木实蝇
'la'pa'pu'dao'yi 拉帕铺道蚁
'la'pi'tu'fei'shi 剌披突飞虱
'la'pu'jiao'zhu 拉普狡蛛
'la'pu'lan'e'zao 拉普兰额蚤
'la'pu'lan'mao'ji'ying 拉普兰毛基蝇
'la'pu'lan'xiong'feng 拉普兰熊蜂
'la'rong'jie'shu 蜡绒蚧属
'la'sa'fen'mao'ya 拉萨粉毛蚜
'la'sa'gao'yuan'fei'shi 拉萨高原飞虱
'la'sa'ku'liao 拉萨库缭
'la'sa'ma'ying 拉萨麻蝇
'la'sa'xi'ma'ying 拉萨细麻蝇
'la'sai'jin'gui'shu 拉鳃金龟属
'la'shi'ma'ying 拉氏麻蝇
'la'shi'mu'lian 拉氏木蠊
'la'shi'qi'fei'shi 腊氏岐飞虱
'la'shi'xian'xiao'juan'e 拉氏线小卷蛾
'la'shi'xiao'ye'ma'ying 拉氏小野麻蝇
'la'shi'xue'pi 拉氏血蜱
'la'shi'ye'chi'huang'ban'feng 拉氏腋齿黄斑蜂
'la'shi'ying'shu 蜡实蝇属
'la'shi'ying'shu 辣实蝇属
'la'shi'ying'zu 腊实蝇族
'la'shu'cu'fen'jie 蜡树簇粉蚧
'la'shu'juan'ye'mian'ya 蜡树卷叶绵蚜
'la'si'fen'jie 蜡丝粉蚧
'la'ti'ao'ji'na'di'bu'si'da'qiao'jia 拉提奥基拿迪布斯大锹甲
'la'ti'ta'mu'zhu 拉剔塔姆蛛
'la'tian'niu'shu 蜡天牛属
'la'tian'niu'zhu'ji'feng 蜡天牛蛀姬蜂
'la'tu'huang'shu 剌秃蝗属
'la'tu'zhu'shu 垃土蛛属
'la'tu'zhu'shu 拉土蛛属
'la'wei'da'fei'luo'shi'ying 拉维达菲洛实蝇
'la'xi'tie'jia'shu 拉西铁甲属
'la'xian'die'shu 腊蚬蝶属
'la'xiao'die'shu 蜡绡蝶属
'la'yan'die'shu 腊眼蝶属
'la'ye'feng'shu 蜡叶蜂属
'la'yuan'chun 拉缘蝽
'la'yuan'chun'shu 拉缘蝽属
'la'zhong'shu 剌螽属
'lai'bi'xiao'xiao 莱比肖蛸
'lai'bian'ying'hu 莱扁蝇虎
'lai'bo'shi'ying'shu 来波实蝇属
'lai'duan'bi'huang 癞短鼻蝗
'lai'huang'ke 癞蝗科
'lai'huang'ya'ke 癞蝗亚科
'lai'hui'die'shu 癞灰蝶属
'lai'hui'die'shu 莱灰蝶属
'lai'hui'die'shu 赖灰蝶属
'lai'hui'die'zu 莱灰蝶族
'lai'ji'ying'zu 莱寄蝇族
'lai'jia'shu 莱甲属
'lai'jia'zu 莱甲族
'lai'ke'sha'nu'shi'ying 莱科沙努实蝇
'lai'li'jie'shu 赖蛎蚧属
'lai'mu'bang'ying'wen 梾木棒瘿蚊
'lai'mu'bing'dun'jie 徕木并盾蚧
'lai'nong'die'shu 莱弄蝶属
'lai'nong'die'shu 赉弄蝶属
'lai'pi'ye'e'shu 癞皮夜蛾属
'lai'qi'zhu'shu 莱奇蛛属
'lai'qing'chi'e'shu 癞青尺蛾属
'lai'se'yi'zhu 莱瑟蚁蛛
'lai'shi'cai'ban'ya 来氏彩斑蚜
'lai'shi'da'tou'yi 莱氏大头蚁
'lai'shi'gong'bei'yi 来氏弓背蚁
'lai'shi'hu'zhu 莱氏壶蛛
'lai'shi'jie'ya'xiao'feng 赖食蚧蚜小蜂
'lai'shi'ju'shan'yi 赖氏巨山蚁
'lai'shi'lin'yi 莱氏林蚁
'lai'shi'ruan'jie'ya'xiao'feng 赖食软蚧蚜小蜂
'lai'tu'jia'shu 莱土甲属
'lai'wei'si'cong'shu 莱伪丝蟌属
'lai'wei'si'jian'feng 莱魏斯茧蜂
'lai'wei'si'meng'kou'jia 莱维斯猛叩甲
'lai'xi'ke 癞蟋科
'lai'xian'die'shu 莱蚬蝶属
'lai'xiang'shu 癞象属
'lai'yan'die'shu 徕眼蝶属
'lai'yang'bing'fu'xi'feng'shu 莱阳柄腹细蜂属
'lan'an'fen'jie 蓝桉粉蚧
'lan'an'mu'shi'shu 蓝桉木虱属
'lan'an'rong'jie 蓝桉绒蚧
'lan'an'ying'wen 蓝桉瘿蚊
'lan'ban'chang'fu'shan'cong 蓝斑长腹扇蟌
'lan'ban'chi'huang 蓝斑翅蝗
'lan'ban'li'yan'die 蓝斑丽眼蝶
'lan'ban'xi'cong 蓝斑溪蟌
'lan'ban'yi'chi'xi'cong 蓝斑异翅溪蟌
'lan'bi'feng 蓝壁蜂
'lan'bian'mao'li'jin'gui 蓝边矛丽金龟
'lan'bian'wen'ye'e 蓝边文夜蛾
'lan'bu'jia'shu 婪步甲属
'lan'cai'dai'feng 蓝彩带蜂
'lan'cai'xiao'du 榄材小蠹
'lan'cang'gu'yuan 澜沧古蚖
'lan'cang'huang'shu 澜沧蝗属
'lan'cang'liu'zha 澜沧瘤蚱
'lan'cang'luan'chi'huang 澜沧卵翅蝗
'lan'cang'lv'lu'zhong 澜沧绿露螽
'lan'chang'chun'shu 婪长蝽属
'lan'chang'zu'ni'feng 蓝长足泥蜂
'lan'chi'li'jia 蓝翅丽甲
'lan'chi'liu'huang 蓝翅瘤蝗
'lan'chi'mei'se'cong 蓝翅眉色蟌
'lan'chi'piao'ying'ye'jia 蓝翅瓢萤叶甲
'lan'chi'tian'niu'shu 蓝翅天牛属
'lan'chi'xie'tian'niu 蓝翅楔天牛
'lan'chi'yi'huang 蓝翅彝蝗
'lan'chi'zhong'tu'yan'tian 蓝翅重突眼天
'lan'chun 蓝蝽
'lan'chun'hei'cong 蓝唇黑蟌
'lan'chun'shu 蓝蝽属
'lan'cu'jiao'tiao'jia 蓝粗角跳甲
'lan'cui'ying 蓝翠蝇
'lan'cui'zhu 蓝翠蛛
'lan'da'wen'shu 蓝大蚊属
'lan'dai'ji'ma 蓝呆蓟马
'lan'dai'ju'huan'die 蓝带矩环蝶
'lan'dai'qing'feng'die 蓝带青凤蝶
'lan'dai'wen'shu 蓝带蚊属
'lan'dai'wen'zu 蓝带蚊族
'lan'dun'mu'shi'shu 篮盾木虱属
'lan'dun'yi'li'jin'gui 蓝盾异丽金龟
'lan'e'shu'mai'qing 蓝额疏脉蜻
'lan'e'shu'mai'qing 蓝额舒脉蜻
'lan'fen'die'shu 蓝粉蝶属
'lan'fen'die'ya'ke 蓝粉蝶亚科
'lan'fen'duan'qiao'tian'niu 蓝粉短鞘天牛
'lan'fen'jie'shu 榄粉蚧属
'lan'fen'xie'tian'niu 蓝粉楔天牛
'lan'fu'lv'cong 蓝腹绿蟌
'lan'fu'zhe'si'cong 蓝腹赭丝蟌
'lan'ge'zhu'shu 兰格蛛属
'lan'guan'chao'zhu 蓝管巢蛛
'lan'guang'liu'tui'ni'feng 蓝光瘤腿泥蜂
'lan'guo'gong'chong 蓝郭公虫
'lan'he'zao'hui'die 兰褐枣灰蝶
'lan'hei'bian'jiao'ye'jia 蓝黑扁角叶甲
'lan'hei'bian'ye'feng 蓝黑扁叶蜂
'lan'hei'jiao'xiong'ye'jia 蓝黑角胸叶甲
'lan'hei'ni'sui'feng 蓝黑拟隧蜂
'lan'hei'qie'ye'feng 蓝黑切叶蜂
'lan'hei'shu'feng 蓝黑树蜂
'lan'hong'shu'mo'ye'e 榄红树摩夜蛾
'lan'hou'yuan'ye'jia 蓝厚缘叶甲
'lan'hua'guang'jian'xiao'feng 蓝花广肩小蜂
'lan'huang'ji'ma 蓝黄蓟马
'lan'huang'lu'feng 蓝黄芦蜂
'lan'hui'die'shu 蓝灰蝶属
'lan'hui'ping'tou'mu'shi 蓝灰平头木虱
'lan'hui'zhang'jiao'e 蓝灰长角蛾
'lan'ji'ai'xi'cong 蓝脊爱犀蟌
'lan'ji'chang'fu'shan'cong 蓝脊长腹扇蟌
'lan'ji'feng'shu 蓝姬蜂属
'lan'ji'ma 蓝蓟马
'lan'ji'ma'lan'huang'dai'ji'ma 蓝蓟马蓝黄呆蓟马
'lan'ji'ma'shu 蓝蓟马属
'lan'ji'sheng'bi'cong 蓝脊圣鼻蟌
'lan'jia'die'shu 蓝蛱蝶属
'lan'jian'ya 蓝坚蚜
'lan'jiao'xiong'ye'jia 蓝角胸叶甲
'lan'jiao'ya 蓝角蚜
'lan'jing'bo'tui'huang 蓝胫波腿蝗
'lan'jing'dao'huang 蓝胫稻蝗
'lan'jing'gan'lai'huang 蓝胫甘癞蝗
'lan'jing'gou'ben'huang 蓝胫沟苯蝗
'lan'jing'hei'huang 蓝胫黑蝗
'lan'jing'ji'wen'huang 蓝胫戟纹蝗
'lan'jing'que'mao'huang 蓝胫缺毛蝗
'lan'jing'shu'jing'huang 蓝胫束颈蝗
'lan'jing'yi'luo'huang 篮胫异裸蝗
'lan'jing'zhong'tui'huang 蓝胫踵腿蝗
'lan'jing'zhu'huang 蓝胫竹蝗
'lan'ju'rao'shi'ying 蓝橘绕实蝇
'lan'li'da'qing 蓝丽大蜻
'lan'li'jia 蓝丽甲
'lan'li'kuan'fu'ye'feng 蓝丽宽腹叶蜂
'lan'li'ye'jia 蓝丽叶甲
'lan'liang'ye'jia 蓝亮叶甲
'lan'lu'feng 蓝芦蜂
'lan'lu'la'chan'shu 兰璐蜡蝉属
'lan'lu'la'chan'shu 蓝璐蜡蝉属
'lan'luan'tiao'jia 蓝卵跳甲
'lan'lun'chun 澜沦蝽
'lan'lv'luan'chi'huang 蓝绿卵翅蝗
'lan'lv'tiao'xiao'feng'shu 蓝绿跳小蜂属
'lan'lv'xiang'shu 蓝绿象属
'lan'lv'yang'yong'chun 蓝绿仰泳蝽
'lan'lv'ye'jia'shu 蓝绿叶甲属
'lan'mang'chun'shu 蓝盲蝽属
'lan'mao'wang 蓝茅辋
'lan'mu'tian'e'guang'dong'ya'zhong 蓝目天蛾广东亚种
'lan'mu'tian'e'si'chuan'ya'zhong 蓝目天蛾四川亚种
'lan'ni'feng'shu 蓝泥蜂属
'lan'pi'ji'ma'shu 蓝皮蓟马属
'lan'pian'jie'ba'ji'si'tan'ya'xiao'feng 揽片蚧巴基斯坦蚜小蜂
'lan'pian'jie'huang'ya'xiao'feng 榄片蚧黄蚜小蜂
'lan'ping'san'ci'jiao'chan 兰坪三刺角蝉
'lan'qiao'hu'xiong'yin'chi'chong 蓝鞘弧胸隐翅虫
'lan'qie'zhi'xiang 蓝切枝象
'lan'qing'ting'shu 篮蜻蜓属
'lan'rao'bai'ling 揽扰白岭
'lan'rao'bai'ling 揽扰白蛉
'lan'ren'shu'juan'xiang 榄仁树卷象
'lan'ren'xiang'tian'niu 榄仁象天牛
'lan'san'jie'chang'bei'ni'feng 蓝三节长背泥蜂
'lan'se'chang'dun'jin'xiao'feng 蓝色长盾金小蜂
'lan'se'chang'kong'ji'feng 蓝色长孔姬蜂
'lan'shan'nong'die'shu 蓝闪弄蝶属
'lan'shi'mai'qing 兰氏脉蜻
'lan'shi'song'mu'du'xiang 兰氏松木蠹象
'lan'shu 懒属
'lan'shu'feng 蓝树蜂
'lan'shuang'yan'die 兰双眼蝶
'lan'shui'ming'shu 蓝水螟属
'lan'si'tiao'jia 蓝丝跳甲
'lan'tiao'jia'shu 蓝跳甲属
'lan'tiao'nong'die'shu 蓝条弄蝶属
'lan'tiao'ye'e'shu 蓝条夜蛾属
'lan'tong'fu'ye'feng 蓝筒腹叶蜂
'lan'tong'tian'niu'shu 蓝筒天牛属
'lan'tun'wen'fen'jie 榄臀纹粉蚧
'lan'wei'huang'shu 蓝尾蝗属
'lan'wei'xia'chi'cong 蓝尾狭翅蟌
'lan'wen'wei'cong 蓝纹尾蟌
'lan'wen'xiao'qing 蓝纹小蜻
'lan'wen'ye'e 蓝纹夜蛾
'lan'wen'ye'e'shu 蓝纹夜蛾属
'lan'xia'zao 兰狭蚤
'lan'xian'si'cong 蓝线丝蟌
'lan'xiang'shu 蓝象属
'lan'xiao'qing'shu 蓝小蜻属
'lan'xiong'mu'feng 蓝胸木蜂
'lan'xiong'qiang 蓝胸蔷
'lan'xun'shu'wen 蓝蕈树蚊
'lan'ye'jia 蓝叶甲
'lan'ye'jia'die'shu 蓝叶蛱蝶属
'lan'yin'si'cong 蓝印丝蟌
'lan'ying'shu 蓝蝇属
'lan'yu'bi'qiang'jian'feng 兰屿闭腔茧蜂
'lan'yu'gou'meng'yi 兰屿钩猛蚁
'lan'yu'jin'feng'die 阑屿金凤蝶
'lan'yu'liu'e'yi 兰屿瘤颚蚁
'lan'yu'tong'xiong 兰屿筒胸
'lan'yuan'fu'li'ying 蓝原伏丽蝇
'lan'yuan'jin'guang'ji'ying 蓝缘金光寄蝇
'lan'yuan'tai'e'shu 蓝缘苔蛾属
'lan'yuan'tian'mu'mao'chong 蓝缘天幕毛虫
'lan'yuan'tiao'jia 蓝圆跳甲
'lan'yun'lv'jia'die 蓝晕绿蛱蝶
'lan'zhi'ju'feng 蓝栉距蜂
'lan'zhi'zhao'bu'jia 蓝栉爪步甲
'lan'zhong'shu 懒螽属
'lan'zhou'duan'bi'huang 兰州短鼻蝗
'lan'zhou'duan'bi'kui 兰州短鼻蝰
'lan'zhou'si'ling 兰州司蛉
'lan'zhou'xiao'yao'zhu 兰州逍遥蛛
'lan'zhu'la'jie 榄珠蜡蚧
'lan'zhuang'yi'zhi'cong 蓝壮异痣蟌
'lan'zi'mu'feng 蓝紫木蜂
'lan'zu'chi'tui'huang 蓝足赤腿蝗
'lan'zu'huang 蓝足蝗
'lan'zu'si'yi 蓝足丝蚁
'lang'chun'zhai'fu'xi'feng 浪唇窄腹细蜂
'lang'huan'die'shu 狼环蝶属
'lang'hui'die'shu 浪灰蝶属
'lang'jia'die 狼蛱蝶
'lang'jia'die'shu 狼蛱蝶属
'lang'ma'zhu 狼马蛛
'lang'shi'tian'niu'shu 郎氏天牛属
'lang'wen'huang'gou'e 浪纹黄钩蛾
'lang'wen'san'gou'e 浪纹三钩蛾
'lang'xiao'yao'zhu'shu 狼逍遥蛛属
'lang'ya'lv'zong'cong 狼牙绿综蟌
'lang'yan'die'shu 狼眼蝶属
'lang'ye'e'shu 狼夜蛾属
'lang'yi'shu 浪蚁属
'lang'zhi'zhu'ke 狼栉蛛科
'lang'zhu'ke 狼蛛科
'lang'zhu'shu 榔蛛属
'lang'zhu'shu 狼蛛属
'lang'zi'li'ju'ji'feng 浪子离距姬蜂
'lao'bao'jia'die'shu 老豹蛱蝶属
'lao'ci'hu'tian'niu'shu 老刺虎天牛属
'lao'de'yu'zhu 劳德羽蛛
'lao'dian'shan'zhu 老殿栅蛛
'lao'duan'ci'tian'niu'shu 老短刺天牛属
'lao'fen'die'shu 酪粉蝶属
'lao'jiao'zhu 老狡蛛
'lao'jun'shan'feng'ya'ying 老君山蜂蚜蝇
'lao'nong'die'shu 佬弄蝶属
'lao'nong'die'shu 烙弄蝶属
'lao'shan'hei'e'ting 崂山黑额蜓
'lao'shan'sheng'rui 崂山绳蚋
'lao'shi'chang'fu'yao'wen'shu 劳氏长跗摇蚊属
'lao'shi'duan'suo'ya'xiao'feng 劳氏短索蚜小蜂
'lao'shi'gong'bei'yi 老氏弓背蚁
'lao'shi'hua'xie'zhu 劳氏花蟹蛛
'lao'shi'luo'xin'fu 劳氏络新妇
'lao'shi'shan'shan'cong 劳氏扇山蟌
'lao'shi'yao'wen'shu 劳氏摇蚊属
'lao'si'kuo'bing'tiao'xiao'feng 劳斯阔柄跳小蜂
'lao'tiao'feng 老条蜂
'lao'tiao'jia'shu 老跳甲属
'lao'wo'ai'ke'tuo'shi'ying 老挝埃克托实蝇
'lao'wo'fang'e'tian'niu 老挝方额天牛
'lao'wo'hong'tian'niu 老挝红天牛
'lao'wo'ju'shou'yi 老挝巨首蚁
'lao'wo'se'cong 老挝色蟌
'lao'wo'xi'cong 老挝溪蟌
'lao'ye'feng'shu 劳叶蜂属
'lao'ye'ling'sai'jin'gui 老爷岭鳃金龟
'lao'yin'hou'jie'meng'yi 烙印厚结猛蚁
'lao'ying'ke 酪蝇科
'lao'ying'shu 酪蝇属
'lao'zhu'shu 劳蛛属
'lao'zi'xi'meng'yi 老子细猛蚁
'le'bian'chun'shu 乐扁蝽属
'le'di'sao'wen 勒氐骚蚊
'le'dong'na 乐东纳
'le'dong'rui 乐东蚋
'le'hu'e'shu 乐虎蛾属
'le'hui'die'shu 乐灰蝶属
'le'meng'shu 勒蠓属
'le'shi'ao'feng 勒氏螯蜂
'le'shi'chun 勒氏蝽
'le'shi'dan'zhua'ao'feng 勒氏单爪螯蜂
'le'shi'jian'zhu 勒氏剑蛛
'le'shi'juan'fen'die 勒氏绢粉蝶
'le'shi'sao'wen 勒氏骚蚊
'le'wei'si'shi'qie'ye'xiang 勒威斯氏切叶象
'le'xian'qing 乐仙蜻
'le'ye'e'shu 勒夜蛾属
'le'yin'chi'chong'shu 勒隐翅虫属
'le'ying'ye'jia'shu 勒萤叶甲属
'le'zhong'tui'feng 勒肿腿蜂
'le'zhong'tui'feng'shu 勒肿腿蜂属
'lei'ao'ji'ying'shu 类螯寄蝇属
'lei'bai'sa'feng'ke 类拜萨蜂科
'lei'ban'ming'shu 类斑螟属
'lei'bang'luo'xin'fu 类棒络新妇
'lei'bi'huang'shu 雷篦蝗属
'lei'bo'lan'dai'wen 雷波蓝带蚊
'lei'bo'san'bai'yi 雷波散白蚁
'lei'bo'wang'bai'yi 雷波网白蚁
'lei'cang'bai'qiu'zhu 类苍白球蛛
'lei'cao'jing'ye'chan'shu 类槽胫叶蝉属
'lei'chi'tian'niu'shu 肋翅天牛属
'lei'chun 雷蝽
'lei'chun'shu 雷蝽属
'lei'ci'duan'fu'zhu 类刺短跗蛛
'lei'ci'fen'shi'shu 类刺粉虱属
'lei'di'ji'ying'shu 雷迪寄蝇属
'lei'en'lie'chun'shu 类嗯猎蝽属
'lei'fei'zhu'shu 类肥蛛属
'lei'fen'jie 垒粉蚧
'lei'fen'jie'shu 垒粉蚧属
'lei'fu'deng 类符等
'lei'fu'deng'shu 类符等属
'lei'fu'e'shu 类蝠蛾属
'lei'gan'hong'yi 类干红蚁
'lei'gao'ju'jin'zhu 类高居金蛛
'lei'gong'shan'gu'xi'zu'tang 雷公山古细足螳
'lei'gong'shan'liu'tou'hui'ying 雷公山溜头秽蝇
'lei'gong'shan'san'bai'yi 雷公山散白蚁
'lei'gong'shan'yi'bai'yi 雷公山异白蚁
'lei'guan'chao'zhu 类管巢蛛
'lei'gui'jia'shu 肋龟甲属
'lei'hua'gang'yuan'zhu 类花岗园蛛
'lei'hua'hua'tian'niu 类华花天牛
'lei'hua'tian'niu'shu 类花天牛属
'lei'huang'ji'miao'ying 类黄基妙蝇
'lei'huang'jian'miao'ying 类黄肩妙蝇
'lei'huo'chong 雷火虫
'lei'ji'jia'die'shu 累积蛱蝶属
'lei'jia'ban'ming'shu 类荚斑螟属
'lei'jia'die'shu 肋蛱蝶属
'lei'jia'zhu'shu 类岬蛛属
'lei'jian'wei'chun'ting 雷尖尾春蜓
'lei'jie'fei'shi'shu 类节飞虱属
'lei'ke'meng 类柯虻
'lei'ku'meng 肋库蠓
'lei'la'tian'niu'shu 类蜡天牛属
'lei'li'jin'zhu 类丽金蛛
'lei'li'xing'jiao'zhu 类梨形狡蛛
'lei'lou'dou'zhu 类漏斗蛛
'lei'ma'tai'nan'ying 类麻台南蝇
'lei'mei'tian'niu'shu 类眉天牛属
'lei'mi'yuan'chun'shu 类侎缘蝽属
'lei'mie'huang'shu 雷篾蝗属
'lei'ming'chan 雷鸣蝉
'lei'ni'shan'zhu 类拟闪蛛
'lei'nong'die'shu 肋弄蝶属
'lei'nong'die'shu 雷弄蝶属
'lei'pi'huang 肋蚍蝗
'lei'qi'yi'huan'zhu 类奇异獾蛛
'lei'qing'xin'yuan'zhu 类青新园蛛
'lei'qiu'zhu'ke 类球蛛科
'lei'san'jiao'min'zhu 类三角皿蛛
'lei'shan'di'liang'fu'zhu 类山地亮腹蛛
'lei'shan'ni'di'gui'chun 雷山拟蒂龟蝽
'lei'shan'pi 雷山皮
'lei'shan'tuo'bei'zha 雷山驼背蚱
'lei'shan'ying'gao'ying 雷山影缟蝇
'lei'shi'an'hong'tian'e 累氏暗红天蛾
'lei'shi'an'wen'shi'ren'ya'zhong 雷氏按纹嗜人亚种
'lei'shi'cao'mang'chun 雷氏草盲蝽
'lei'shi'e'mao'zhu 类石额毛蛛
'lei'shi'ji'chun 雷氏姬蝽
